id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401757282,2025,8,regular,2025-10-14T23:00:00.000Z,False,False,False,True,,3992.0,Williams Stadium (VA),2335,Liberty,fbs,Conference USA,,,,,,166,New Mexico State,fbs,Conference USA,,,,,,,,
401761628,2025,8,regular,2025-10-14T23:30:00.000Z,False,False,False,True,,6526.0,Hancock Whitney Stadium,6,South Alabama,fbs,Sun Belt,,,,,,2032,Arkansas State,fbs,Sun Belt,,,,,,,,
401757281,2025,8,regular,2025-10-15T00:00:00.000Z,False,False,False,True,,3796.0,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,,,,,,2229,Florida International,fbs,Conference USA,,,,,,,,
401757284,2025,8,regular,2025-10-15T23:00:00.000Z,False,False,False,True,,3647.0,Elliott T. Bowers Stadium,2534,Sam Houston,fbs,Conference USA,,,,,,2638,UTEP,fbs,Conference USA,,,,,,,,
401757283,2025,8,regular,2025-10-15T23:00:00.000Z,False,False,False,True,,3662.0,AmFirst Stadium,55,Jacksonville State,fbs,Conference USA,,,,,,48,Delaware,fbs,Conference USA,,,,,,,,
401773395,2025,8,regular,2025-10-16T23:00:00.000Z,False,False,False,True,,3934.0,Southern Nazarene University Football Stadium,200,Southern Nazarene,ii,Great American,,,,,,2927,Southwestern Oklahoma State,ii,Great American,,,,,,,,
401774125,2025,8,regular,2025-10-16T23:00:00.000Z,False,False,False,True,,6100.0,Cutler Field,354,Olivet College,iii,Michigan,,,,,,2651,Trine University,iii,Michigan,,,,,,,,
401762486,2025,8,regular,2025-10-16T23:30:00.000Z,False,False,False,True,,3699.0,Dowdy-Ficklen Stadium,151,East Carolina,fbs,American Athletic,,,,,,202,Tulsa,fbs,American Athletic,,,,,,,,
401776972,2025,8,regular,2025-10-17T22:00:00.000Z,False,False,True,False,,5929.0,Ritchie Field,274,Maine Maritime,iii,Independent DIII,,,,,,111675,Biddeford,iii,Commonwealth Coast,,,,,,,,
401754564,2025,8,regular,2025-10-17T23:00:00.000Z,False,False,False,True,,3948.0,Hard Rock Stadium,2390,Miami,fbs,ACC,,,,,,97,Louisville,fbs,ACC,,,,,,,,
401774195,2025,8,regular,2025-10-18T00:00:00.000Z,False,False,False,True,,4854.0,Perkins Stadium,2745,Wisconsin-Whitewater,iii,Wisconsin,,,,,,2744,Wisconsin-Stout,iii,Wisconsin,,,,,,,,
401752872,2025,8,regular,2025-10-18T00:00:00.000Z,False,False,False,True,,3953.0,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,,,,,,158,Nebraska,fbs,Big Ten,,,,,,,,
401760396,2025,8,regular,2025-10-18T01:00:00.000Z,False,False,False,True,,3905.0,Maverik Stadium,328,Utah State,fbs,Mountain West,,,,,,23,San José State,fbs,Mountain West,,,,,,,,
401754371,2025,8,regular,2025-10-18T02:30:00.000Z,False,False,False,True,,3831.0,California Memorial Stadium,25,California,fbs,ACC,,,,,,153,North Carolina,fbs,ACC,,,,,,,,
401756923,2025,8,regular,2025-10-18T04:00:00.000Z,True,False,False,True,,3947.0,Mountain America Stadium,9,Arizona State,fbs,Big 12,,,,,,2641,Texas Tech,fbs,Big 12,,,,,,,,
401754569,2025,8,regular,2025-10-18T04:00:00.000Z,True,False,False,False,,3615.0,"Alumni Stadium (Chestnut Hill, MA)",103,Boston College,fbs,ACC,,,,,,41,UConn,fbs,FBS Independents,,,,,,,,
401754568,2025,8,regular,2025-10-18T04:00:00.000Z,True,False,False,True,,1964.0,JMA Wireless Dome,183,Syracuse,fbs,ACC,,,,,,221,Pittsburgh,fbs,ACC,,,,,,,,
401754566,2025,8,regular,2025-10-18T04:00:00.000Z,True,False,False,True,,3982.0,Wallace Wade Stadium,150,Duke,fbs,ACC,,,,,,59,Georgia Tech,fbs,ACC,,,,,,,,
401754565,2025,8,regular,2025-10-18T04:00:00.000Z,True,False,False,True,,3836.0,"Memorial Stadium (Clemson, SC)",228,Clemson,fbs,ACC,,,,,,2567,SMU,fbs,ACC,,,,,,,,
