provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,id,season,week,seasonType,startDate,homeTeam,homeConference,homeScore,awayTeam,awayConference,awayScore
DraftKings,-14.0,Kansas -14,-14.0,51.5,51.5,-550.0,410.0,401756847,2025,1,regular,2025-08-23T22:30:00.000Z,Kansas,Big 12,,Fresno State,Mountain West,
ESPN Bet,-13.5,Kansas -13.5,-13.5,50.5,51.5,-700.0,450.0,401756847,2025,1,regular,2025-08-23T22:30:00.000Z,Kansas,Big 12,,Fresno State,Mountain West,
Bovada,-13.5,Kansas -13.5,-14.5,50.5,51.5,-575.0,400.0,401756847,2025,1,regular,2025-08-23T22:30:00.000Z,Kansas,Big 12,,Fresno State,Mountain West,
DraftKings,-9.5,Western Kentucky -9.5,-9.5,60.5,60.5,-360.0,285.0,401757218,2025,1,regular,2025-08-23T23:00:00.000Z,Western Kentucky,Conference USA,,Sam Houston,Conference USA,
ESPN Bet,-10.0,Western Kentucky -10,-9.5,61.5,61.5,-425.0,320.0,401757218,2025,1,regular,2025-08-23T23:00:00.000Z,Western Kentucky,Conference USA,,Sam Houston,Conference USA,
Bovada,-10.0,Western Kentucky -10.0,-7.0,60.0,61.5,-390.0,295.0,401757218,2025,1,regular,2025-08-23T23:00:00.000Z,Western Kentucky,Conference USA,,Sam Houston,Conference USA,
DraftKings,-1.5,Hawai'i -1.5,-1.5,53.5,53.5,-118.0,-102.0,401754516,2025,1,regular,2025-08-23T23:30:00.000Z,Hawai'i,Mountain West,,Stanford,ACC,
ESPN Bet,-2.0,Hawai'i -2,-1.5,53.5,53.5,-130.0,110.0,401754516,2025,1,regular,2025-08-23T23:30:00.000Z,Hawai'i,Mountain West,,Stanford,ACC,
Bovada,-2.5,Hawai'i -2.5,2.5,52.5,55.5,115.0,-135.0,401754516,2025,1,regular,2025-08-23T23:30:00.000Z,Hawai'i,Mountain West,,Stanford,ACC,
DraftKings,8.5,Boise State -8.5,8.5,63.5,63.5,250.0,-310.0,401762522,2025,1,regular,2025-08-28T21:30:00.000Z,South Florida,American Athletic,,Boise State,Mountain West,
ESPN Bet,6.5,Boise State -6.5,8.5,63.5,63.5,190.0,-225.0,401762522,2025,1,regular,2025-08-28T21:30:00.000Z,South Florida,American Athletic,,Boise State,Mountain West,
Bovada,6.0,Boise State -6.0,9.5,64.0,63.5,240.0,-290.0,401762522,2025,1,regular,2025-08-28T21:30:00.000Z,South Florida,American Athletic,,Boise State,Mountain West,
DraftKings,-11.5,Rutgers -11.5,-11.5,46.5,46.5,-455.0,350.0,401752794,2025,1,regular,2025-08-28T22:00:00.000Z,Rutgers,Big Ten,,Ohio,Mid-American,
ESPN Bet,-14.5,Rutgers -14.5,-11.5,46.5,46.5,-800.0,500.0,401752794,2025,1,regular,2025-08-28T22:00:00.000Z,Rutgers,Big Ten,,Ohio,Mid-American,
Bovada,-14.0,Rutgers -14.0,-10.5,46.5,47.5,-510.0,370.0,401752794,2025,1,regular,2025-08-28T22:00:00.000Z,Rutgers,Big Ten,,Ohio,Mid-American,
DraftKings,-16.5,UCF -16.5,-16.5,53.5,53.5,-750.0,525.0,401756848,2025,1,regular,2025-08-28T23:00:00.000Z,UCF,Big 12,,Jacksonville State,Conference USA,
ESPN Bet,-16.5,UCF -16.5,-16.5,52.5,53.5,-900.0,550.0,401756848,2025,1,regular,2025-08-28T23:00:00.000Z,UCF,Big 12,,Jacksonville State,Conference USA,
Bovada,-16.5,UCF -16.5,-16.5,53.5,56.5,-800.0,525.0,401756848,2025,1,regular,2025-08-28T23:00:00.000Z,UCF,Big 12,,Jacksonville State,Conference USA,
DraftKings,-12.5,NC State -12.5,-12.5,58.5,58.5,-440.0,340.0,401754373,2025,1,regular,2025-08-28T23:00:00.000Z,NC State,ACC,,East Carolina,American Athletic,
ESPN Bet,-12.5,NC State -12.5,-12.5,59.5,58.5,-450.0,340.0,401754373,2025,1,regular,2025-08-28T23:00:00.000Z,NC State,ACC,,East Carolina,American Athletic,
Bovada,-12.5,NC State -12.5,-14.0,58.5,56.5,-435.0,325.0,401754373,2025,1,regular,2025-08-28T23:00:00.000Z,NC State,ACC,,East Carolina,American Athletic,
DraftKings,8.5,Wyoming -8.5,8.5,49.5,49.5,260.0,-325.0,401762789,2025,1,regular,2025-08-28T23:00:00.000Z,Akron,Mid-American,,Wyoming,Mountain West,
ESPN Bet,7.5,Wyoming -7.5,7.5,50.5,49.5,240.0,-290.0,401762789,2025,1,regular,2025-08-28T23:00:00.000Z,Akron,Mid-American,,Wyoming,Mountain West,
Bovada,8.0,Wyoming -8.0,9.5,50.0,49.5,250.0,-300.0,401762789,2025,1,regular,2025-08-28T23:00:00.000Z,Akron,Mid-American,,Wyoming,Mountain West,
DraftKings,-16.5,Minnesota -16.5,-16.5,45.5,45.5,-900.0,600.0,401752793,2025,1,regular,2025-08-29T00:00:00.000Z,Minnesota,Big Ten,,Buffalo,Mid-American,
ESPN Bet,-16.5,Minnesota -16.5,-17.0,45.5,45.5,-900.0,550.0,401752793,2025,1,regular,2025-08-29T00:00:00.000Z,Minnesota,Big Ten,,Buffalo,Mid-American,
Bovada,-16.5,Minnesota -16.5,-18.5,45.5,45.5,-900.0,575.0,401752793,2025,1,regular,2025-08-29T00:00:00.000Z,Minnesota,Big Ten,,Buffalo,Mid-American,
DraftKings,-17.5,Wisconsin -17.5,-17.5,40.5,40.5,-1100.0,700.0,401762791,2025,1,regular,2025-08-29T01:00:00.000Z,Wisconsin,Big Ten,,Miami (OH),Mid-American,
ESPN Bet,-17.5,Wisconsin -17.5,-17.5,40.5,40.5,-1400.0,750.0,401762791,2025,1,regular,2025-08-29T01:00:00.000Z,Wisconsin,Big Ten,,Miami (OH),Mid-American,
