season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2025,Air Force,Mountain West,132.2,2.8,78.1,51.3,0.63,0.226,0.818,0.501,0.556,0.075,0.828,0.64
2025,Akron,Mid-American,105.8,56.5,46.2,3.0,0.371,0.788,0.277,0.064,0.531,0.909,0.339,0.208
2025,Alabama,SEC,187.5,46.4,118.8,22.3,0.433,0.394,0.571,0.208,0.395,0.098,0.647,0.482
2025,App State,Sun Belt,48.8,0.0,52.9,-4.2,0.141,0.0,0.244,-0.092,0.127,0.0,0.192,0.223
2025,Arizona,Big 12,199.6,87.8,98.3,13.5,0.561,1.044,0.379,1.089,0.675,0.985,0.44,0.41
2025,Arizona State,Big 12,367.1,128.0,181.9,57.2,0.695,0.903,0.76,0.389,0.687,0.987,0.691,0.469
2025,Arkansas,SEC,204.1,131.9,13.6,58.6,0.361,0.848,0.048,0.47,0.553,0.926,0.091,0.492
2025,Arkansas State,Sun Belt,258.9,87.7,146.2,25.0,0.586,0.896,0.534,0.354,0.701,0.945,0.443,0.596
2025,Army,American Athletic,92.9,5.0,29.7,58.2,0.252,0.106,0.354,0.245,0.297,0.151,0.451,0.305
2025,Auburn,SEC,97.6,0.0,95.0,2.6,0.218,0.0,0.383,0.037,0.19,0.0,0.426,0.232
2025,Ball State,Mid-American,27.1,-0.6,34.2,-6.5,0.077,-0.007,0.146,-0.207,0.109,0.024,0.161,0.179
2025,Baylor,Big 12,428.0,144.0,199.9,84.0,0.825,0.978,0.691,1.021,0.929,0.998,0.711,0.994
2025,Boise State,Mountain West,363.0,160.8,151.4,50.8,0.579,0.957,0.518,0.305,0.545,0.955,0.521,0.223
2025,Boston College,ACC,257.8,44.5,173.5,39.8,0.62,0.394,0.675,0.871,0.448,0.504,0.682,0.301
2025,Bowling Green,Mid-American,34.7,3.0,18.1,13.6,0.079,0.024,0.076,0.173,0.056,0.03,0.073,0.073
2025,Buffalo,Mid-American,165.4,14.4,91.8,59.2,0.659,0.364,0.616,0.95,0.684,0.667,0.517,0.777
2025,BYU,Big 12,345.6,85.4,170.5,89.6,0.871,0.926,0.786,1.015,0.931,0.995,0.761,0.983
2025,California,ACC,84.6,-14.6,95.6,3.6,0.225,-0.129,0.434,0.084,0.236,0.166,0.381,0.189
2025,Central Michigan,Mid-American,26.0,7.9,6.9,11.3,0.103,0.572,0.047,0.123,0.342,0.77,0.098,0.117
2025,Charlotte,American Athletic,61.8,0.0,59.4,2.5,0.238,0.0,0.294,0.077,0.095,0.0,0.341,0.067
2025,Cincinnati,Big 12,337.5,100.8,197.8,38.9,0.794,1.0,0.782,0.546,0.758,1.0,0.781,0.492
2025,Clemson,ACC,374.4,120.1,181.5,72.7,0.826,1.0,0.793,0.696,0.753,1.0,0.714,0.478
